Neighborhood,Year Built,Formatted SalePrice
Somerst,2002,"$230,000"
NWAmes,1967,"$218,500"
NWAmes,1993,"$243,500"
NWAmes,1977,"$205,000"
NWAmes,1978,"$212,500"
NWAmes,1988,"$196,500"
NWAmes,1972,"$197,500"
NWAmes,1971,"$171,000"
NAmes,1966,"$142,250"
NWAmes,1963,"$143,000"
NAmes,1959,"$128,950"
NAmes,1966,"$159,000"
NAmes,1967,"$178,900"
NAmes,1964,"$136,300"
NAmes,1964,"$180,500"
NAmes,1963,"$137,500"
NAmes,1962,"$84,900"
NAmes,1950,"$142,125"
NAmes,1952,"$197,600"
NAmes,1949,"$172,500"
BrkSide,1958,"$116,500"
BrkSide,1940,"$76,500"
NAmes,1954,"$128,000"
NAmes,1955,"$153,000"
NAmes,1954,"$132,000"
NAmes,1966,"$178,000"
NAmes,1960,"$154,300"
NAmes,1970,"$180,000"
NAmes,1966,"$190,000"
NAmes,1958,"$135,000"
NAmes,2003,"$214,000"
NAmes,1959,"$136,000"
NAmes,1959,"$165,500"
NAmes,1957,"$145,000"
NAmes,1959,"$148,000"
NAmes,1959,"$142,000"
NAmes,1960,"$167,500"
NAmes,1959,"$108,538"
NAmes,1959,"$159,500"
NAmes,1956,"$108,000"
NAmes,1952,"$135,000"
NAmes,1955,"$122,500"
NAmes,1958,"$119,000"
NAmes,1953,"$109,000"
NAmes,1920,"$105,000"
NAmes,1955,"$107,500"
NAmes,1954,"$144,900"
NAmes,1956,"$129,000"
NAmes,1948,"$97,500"
OldTown,1980,"$144,000"
NAmes,1959,"$162,000"
NAmes,1967,"$242,000"
NAmes,1948,"$132,000"
NAmes,1959,"$154,000"
NAmes,1952,"$166,000"
NAmes,1951,"$134,800"
NAmes,1962,"$160,000"
NAmes,1960,"$148,000"
NAmes,1963,"$192,000"
NAmes,1966,"$155,000"
OldTown,1900,"$80,400"
OldTown,1910,"$96,500"
OldTown,1920,"$109,500"
OldTown,1927,"$115,000"
OldTown,1957,"$143,000"
OldTown,1915,"$107,400"
OldTown,1945,"$80,000"
OldTown,1940,"$119,000"
OldTown,1929,"$130,000"
OldTown,1938,"$119,000"
OldTown,1948,"$129,000"
OldTown,1920,"$100,000"
OldTown,1923,"$12,789"
OldTown,1928,"$105,900"
OldTown,1900,"$150,000"
OldTown,1915,"$139,000"
OldTown,1890,"$240,000"
OldTown,1910,"$76,500"
OldTown,1957,"$149,700"
OldTown,1910,"$125,500"
OldTown,1885,"$122,500"
OldTown,1922,"$140,750"
BrkSide,1950,"$128,500"
BrkSide,1922,"$209,500"
BrkSide,1925,"$87,000"
BrkSide,1939,"$134,000"
BrkSide,1940,"$128,000"
BrkSide,1942,"$132,000"
BrkSide,1948,"$139,900"
BrkSide,1936,"$123,900"
BrkSide,1930,"$138,400"
OldTown,1923,"$109,500"
OldTown,1921,"$140,000"
OldTown,1915,"$149,500"
OldTown,1912,"$159,900"
OldTown,1920,"$122,000"
IDOTRR,1963,"$110,000"
IDOTRR,1930,"$55,000"
OldTown,1900,"$140,000"
ClearCr,1940,"$244,400"
ClearCr,1959,"$173,000"
ClearCr,1917,"$107,500"
SWISU,1915,"$100,000"
SWISU,1940,"$95,000"
SWISU,1907,"$93,369"
SWISU,1910,"$114,900"
Sawyer,1875,"$94,000"
Sawyer,1967,"$136,000"
Sawyer,1968,"$136,500"
Sawyer,1965,"$131,500"
Sawyer,1957,"$121,500"
Sawyer,1967,"$125,000"
Sawyer,1968,"$154,000"
Sawyer,1966,"$137,900"
Sawyer,1969,"$158,000"
Sawyer,1968,"$137,250"
Sawyer,1978,"$160,250"
Sawyer,1968,"$163,000"
Sawyer,1978,"$158,900"
ClearCr,1996,"$328,000"
ClearCr,1977,"$270,000"
Sawyer,1927,"$85,000"
Sawyer,1950,"$128,000"
ClearCr,1979,"$260,000"
ClearCr,1978,"$230,000"
Edwards,1938,"$124,000"
Edwards,1920,"$83,000"
Edwards,1950,"$144,500"
Edwards,1956,"$129,000"
Edwards,1947,"$127,000"
Edwards,1954,"$128,000"
Edwards,2009,"$186,000"
Edwards,2009,"$308,030"
Edwards,1964,"$114,000"
Edwards,1946,"$84,900"
SawyerW,1985,"$178,000"
SawyerW,1987,"$270,000"
SawyerW,1993,"$218,000"
SawyerW,1993,"$236,000"
SawyerW,1992,"$147,000"
CollgCr,2008,"$245,350"
CollgCr,2006,"$206,000"
CollgCr,2009,"$198,900"
CollgCr,2010,"$187,000"
SawyerW,1990,"$320,000"
SawyerW,1900,"$138,500"
ClearCr,1971,"$155,000"
CollgCr,1996,"$159,000"
CollgCr,1997,"$191,000"
CollgCr,1998,"$200,500"
CollgCr,1977,"$150,000"
CollgCr,1977,"$161,750"
CollgCr,1976,"$128,200"
CollgCr,1972,"$127,000"
CollgCr,2003,"$318,000"
CollgCr,2001,"$272,000"
CollgCr,2003,"$237,000"
CollgCr,1997,"$240,000"
CollgCr,1998,"$224,900"
CollgCr,2003,"$143,750"
CollgCr,2004,"$143,000"
CollgCr,2003,"$232,000"
CollgCr,2004,"$213,000"
CollgCr,2004,"$185,500"
Edwards,1945,"$84,900"
Edwards,1954,"$155,891"
Edwards,1965,"$100,000"
Edwards,1968,"$144,000"
Edwards,1948,"$64,000"
Edwards,1975,"$125,200"
Edwards,1976,"$107,000"
Edwards,1958,"$90,000"
Edwards,2003,"$140,000"
Edwards,1945,"$113,000"
Edwards,1941,"$80,000"
Edwards,1957,"$144,500"
SWISU,1924,"$104,000"
SWISU,1915,"$128,000"
Edwards,1914,"$58,500"
SWISU,1924,"$127,000"
SWISU,1939,"$126,000"
SWISU,1967,"$160,000"
SWISU,1931,"$100,000"
SWISU,1919,"$169,000"
Crawfor,1941,"$257,500"
Crawfor,1950,"$215,000"
Crawfor,1941,"$266,500"
Crawfor,1959,"$335,000"
Crawfor,1994,"$203,135"
Blueste,1989,"$185,000"
Blueste,1989,"$162,500"
Crawfor,1959,"$289,000"
IDOTRR,1922,"$125,500"
IDOTRR,1941,"$82,000"
IDOTRR,1921,"$110,000"
IDOTRR,1920,"$68,400"
IDOTRR,1900,"$102,776"
IDOTRR,1952,"$55,993"
IDOTRR,1896,"$50,138"
Crawfor,2004,"$246,000"
Mitchel,1998,"$254,900"
Mitchel,1977,"$190,000"
Mitchel,2003,"$201,000"
Mitchel,1976,"$169,900"
Mitchel,1976,"$170,000"
Timber,1948,"$160,000"
Timber,2008,"$220,000"
Timber,2009,"$179,781"
Timber,2006,"$174,000"
Timber,2009,"$269,500"
Timber,2002,"$214,900"
Timber,2002,"$202,900"
Timber,2008,"$378,500"
Mitchel,1965,"$169,000"
Mitchel,2004,"$173,500"
Mitchel,1971,"$139,000"
Mitchel,1999,"$166,500"
MeadowV,1973,"$83,500"
MeadowV,1973,"$119,500"
MeadowV,1976,"$85,000"
MeadowV,1970,"$76,000"
MeadowV,1972,"$75,500"
MeadowV,1970,"$88,250"
MeadowV,1972,"$85,500"
Mitchel,1971,"$130,000"
Mitchel,1962,"$157,900"
Mitchel,1984,"$149,900"
Mitchel,1985,"$159,000"
Mitchel,1991,"$136,000"
Mitchel,1969,"$161,000"
Mitchel,1994,"$285,000"
Mitchel,1993,"$231,000"
NAmes,1956,"$124,500"
NAmes,1974,"$157,000"
NAmes,1972,"$345,000"
Gilbert,1997,"$189,500"
Gilbert,2003,"$270,000"
Gilbert,1996,"$189,000"
Gilbert,2006,"$377,500"
Gilbert,1995,"$168,500"
StoneBr,2004,"$375,000"
StoneBr,2000,"$278,000"
StoneBr,1998,"$240,000"
StoneBr,1995,"$239,500"
Gilbert,1998,"$177,500"
Gilbert,1998,"$185,000"
Gilbert,1998,"$191,000"
Gilbert,1993,"$178,000"
Gilbert,1993,"$185,000"
Gilbert,1994,"$181,316"
Gilbert,1993,"$166,000"
Gilbert,1992,"$178,000"
Gilbert,1994,"$174,000"
Gilbert,1992,"$173,000"
Gilbert,1999,"$225,000"
Gilbert,1990,"$180,500"
StoneBr,1984,"$187,500"
StoneBr,2008,"$501,837"
StoneBr,2008,"$372,500"
StoneBr,2005,"$260,000"
Gilbert,1977,"$185,000"
NWAmes,1980,"$260,000"
NWAmes,1979,"$181,000"
NWAmes,1977,"$82,500"
NWAmes,1977,"$215,000"
NWAmes,1978,"$154,000"
NWAmes,1978,"$200,000"
NWAmes,1980,"$249,000"
NWAmes,1980,"$187,500"
NWAmes,1978,"$184,000"
NWAmes,1981,"$278,000"
NWAmes,1978,"$157,000"
NWAmes,1976,"$152,000"
NWAmes,1976,"$197,500"
Somerst,2003,"$240,900"
Somerst,2009,"$263,435"
Somerst,2000,"$220,000"
Somerst,2002,"$235,000"
NWAmes,1975,"$213,000"
NWAmes,1974,"$167,900"
NWAmes,1975,"$158,000"
NWAmes,1974,"$165,000"
NWAmes,1972,"$158,000"
NAmes,1974,"$136,000"
NAmes,1970,"$148,500"
NAmes,1969,"$156,000"
NAmes,1970,"$128,000"
NAmes,1971,"$143,000"
NAmes,1970,"$76,500"
NAmes,1970,"$120,500"
NAmes,1970,"$124,500"
NAmes,1971,"$97,000"
NAmes,1971,"$130,000"
BrDale,1973,"$111,000"
BrDale,1970,"$125,000"
BrDale,1971,"$112,000"
BrDale,1972,"$97,000"
BrDale,1972,"$118,000"
BrDale,1972,"$119,500"
NPkVill,1976,"$143,750"
NPkVill,1976,"$146,000"
NPkVill,1976,"$148,500"
NPkVill,1975,"$123,000"
NPkVill,1974,"$147,000"
NPkVill,1977,"$137,900"
NPkVill,1978,"$147,000"
NPkVill,1978,"$148,500"
NPkVill,1978,"$138,000"
NPkVill,1976,"$128,500"
NAmes,1967,"$100,000"
NAmes,1966,"$148,800"
NridgHt,2006,"$337,500"
NridgHt,2007,"$462,000"
NridgHt,2008,"$485,000"
NridgHt,2008,"$555,000"
NridgHt,2006,"$325,000"
NridgHt,2007,"$256,300"
NridgHt,2008,"$253,293"
NridgHt,2009,"$398,800"
NridgHt,2008,"$335,000"
NridgHt,2008,"$404,000"
NridgHt,2009,"$402,861"
NridgHt,2008,"$451,950"
NridgHt,2007,"$610,000"
NridgHt,2008,"$582,933"
NridgHt,2008,"$360,000"
NridgHt,2004,"$296,000"
NridgHt,2007,"$409,900"
NridgHt,2006,"$255,500"
NridgHt,2008,"$335,000"
NridgHt,2004,"$274,900"
NridgHt,2006,"$300,000"
NridgHt,2008,"$324,000"
NridgHt,2004,"$350,000"
NridgHt,2004,"$280,000"
NridgHt,2003,"$284,000"
NridgHt,2003,"$269,500"
NridgHt,2009,"$233,170"
NridgHt,2003,"$386,250"
NridgHt,2003,"$445,000"
NridgHt,2003,"$290,000"
NridgHt,2006,"$255,900"
NridgHt,2005,"$213,000"
NridgHt,2005,"$196,000"
NridgHt,2005,"$184,500"
NridgHt,2007,"$212,500"
NridgHt,2007,"$230,000"
NridgHt,2004,"$552,000"
NridgHt,2003,"$382,500"
NridgHt,2008,"$320,000"
NridgHt,2008,"$248,500"
NridgHt,2002,"$286,500"
NridgHt,2006,"$254,000"
NridgHt,2003,"$173,000"
NridgHt,2003,"$173,000"
Gilbert,2005,"$184,000"
Gilbert,2005,"$167,800"
Gilbert,2005,"$174,000"
Gilbert,2005,"$174,000"
Blmngtn,2007,"$174,000"
Blmngtn,2007,"$175,900"
Blmngtn,2005,"$192,500"
Blmngtn,2005,"$181,000"
Blmngtn,2005,"$180,000"
Blmngtn,2005,"$160,200"
Gilbert,2004,"$188,500"
Gilbert,2002,"$200,000"
Gilbert,2004,"$170,000"
Gilbert,2004,"$189,500"
Gilbert,2002,"$184,100"
Gilbert,2004,"$195,500"
Gilbert,2003,"$192,000"
Gilbert,2003,"$178,000"
NridgHt,2007,"$207,500"
Gilbert,2000,"$236,000"
Gilbert,2002,"$257,500"
Gilbert,2000,"$244,000"
Gilbert,2004,"$167,000"
Gilbert,2000,"$179,000"
Gilbert,2000,"$190,000"
Gilbert,1999,"$156,000"
Gilbert,1999,"$245,000"
Gilbert,1999,"$181,000"
Gilbert,1999,"$214,000"
Gilbert,1999,"$168,000"
NoRidge,1999,"$337,000"
NoRidge,1995,"$403,000"
NoRidge,2000,"$327,000"
NoRidge,1998,"$340,000"
NoRidge,1998,"$336,000"
NoRidge,1996,"$265,000"
NoRidge,1994,"$315,000"
NoRidge,1993,"$260,000"
NoRidge,1995,"$260,000"
NoRidge,1993,"$263,550"
NoRidge,1994,"$402,000"
NoRidge,1994,"$248,000"
Somerst,2008,"$244,600"
Somerst,2008,"$275,000"
Somerst,2008,"$257,500"
Somerst,2008,"$287,090"
Somerst,2007,"$275,500"
Somerst,2006,"$245,000"
Somerst,2005,"$253,000"
Somerst,2005,"$468,000"
Somerst,2009,"$252,678"
Somerst,2008,"$210,000"
Somerst,2009,"$208,300"
Somerst,2008,"$225,000"
Somerst,2009,"$229,456"
Somerst,2008,"$229,800"
Somerst,2007,"$250,000"
Somerst,2009,"$370,878"
Somerst,2006,"$238,500"
Somerst,2008,"$310,000"
Somerst,2006,"$270,000"
Somerst,2005,"$252,000"
Somerst,2006,"$241,000"
Somerst,2008,"$264,500"
Somerst,2006,"$291,000"
Somerst,2003,"$263,000"
Somerst,2004,"$185,000"
Somerst,2003,"$234,500"
Somerst,2003,"$209,000"
SawyerW,2007,"$159,000"
SawyerW,2006,"$152,000"
SawyerW,2004,"$143,500"
SawyerW,2004,"$193,000"
SawyerW,2004,"$203,000"
SawyerW,2003,"$184,900"
SawyerW,2004,"$159,000"
SawyerW,2004,"$142,000"
SawyerW,2003,"$153,000"
SawyerW,2008,"$224,243"
SawyerW,1996,"$220,000"
SawyerW,2005,"$257,000"
SawyerW,2001,"$189,000"
SawyerW,1992,"$171,500"
SawyerW,1980,"$120,000"
SawyerW,1990,"$145,000"
SawyerW,1994,"$184,000"
SawyerW,1986,"$162,000"
SawyerW,1981,"$160,000"
SawyerW,1950,"$82,000"
SawyerW,1928,"$76,000"
Sawyer,1962,"$110,000"
Sawyer,1977,"$135,000"
Sawyer,1961,"$141,000"
Sawyer,1961,"$122,000"
Sawyer,1965,"$124,100"
Sawyer,1963,"$129,000"
Sawyer,1961,"$131,400"
Sawyer,1965,"$62,383"
Sawyer,1962,"$123,000"
Veenker,1980,"$275,000"
NoRidge,1991,"$235,000"
Somerst,2004,"$280,750"
Somerst,2009,"$164,500"
Somerst,2009,"$173,733"
Somerst,2008,"$222,000"
Somerst,2008,"$195,000"
Somerst,1999,"$172,500"
Somerst,2000,"$180,000"
Somerst,1999,"$156,000"
Somerst,1999,"$172,500"
Veenker,1977,"$318,750"
Greens,1981,"$211,500"
Veenker,1981,"$241,600"
Veenker,1976,"$180,500"
Sawyer,1976,"$150,000"
NWAmes,1968,"$154,000"
NWAmes,1970,"$185,000"
NWAmes,1968,"$185,750"
NWAmes,1973,"$200,000"
NWAmes,1974,"$206,000"
NWAmes,1972,"$162,000"
NWAmes,1967,"$256,900"
NWAmes,1967,"$197,900"
NWAmes,1969,"$163,000"
NWAmes,1969,"$113,000"
NWAmes,1977,"$230,000"
NWAmes,1977,"$167,900"
NWAmes,1998,"$213,250"
NWAmes,2001,"$227,000"
NAmes,1967,"$130,000"
NAmes,1967,"$143,000"
NAmes,1965,"$117,500"
NWAmes,1974,"$168,500"
NWAmes,1971,"$172,500"
NWAmes,1967,"$161,500"
NAmes,1960,"$141,500"
NAmes,1959,"$118,000"
NAmes,1959,"$127,500"
NAmes,1957,"$140,000"
NAmes,1956,"$177,625"
NAmes,1958,"$110,000"
NAmes,1964,"$167,000"
NAmes,1961,"$153,000"
NAmes,1964,"$145,100"
NAmes,1966,"$154,000"
NAmes,1965,"$177,500"
NAmes,1964,"$158,000"
NAmes,1959,"$124,500"
NAmes,1961,"$174,500"
NAmes,1955,"$122,000"
BrkSide,1940,"$82,500"
BrkSide,1950,"$110,000"
NAmes,1953,"$149,500"
NAmes,1967,"$175,000"
NAmes,1953,"$167,000"
NAmes,1956,"$128,900"
NAmes,1950,"$140,000"
NAmes,1950,"$147,000"
NAmes,1967,"$124,000"
NAmes,1961,"$187,500"
NAmes,1963,"$159,000"
NAmes,1966,"$256,000"
NAmes,1965,"$205,000"
NAmes,1968,"$193,500"
NAmes,1968,"$110,000"
NAmes,1920,"$104,900"
NAmes,1956,"$150,000"
NAmes,1957,"$156,500"
NAmes,1960,"$176,000"
NAmes,1959,"$149,500"
NAmes,1958,"$139,000"
NAmes,1958,"$155,000"
NAmes,1956,"$120,000"
NAmes,1955,"$153,000"
NAmes,1956,"$144,000"
NAmes,1962,"$176,000"
NAmes,1954,"$153,000"
NAmes,1958,"$135,000"
NAmes,1954,"$131,000"
NAmes,1953,"$123,000"
NAmes,1951,"$126,000"
NAmes,1955,"$115,000"
NAmes,1951,"$164,900"
NAmes,1945,"$113,000"
NAmes,1952,"$145,500"
NAmes,1953,"$102,900"
OldTown,1900,"$95,000"
NAmes,1948,"$152,500"
NAmes,1950,"$129,900"
NAmes,1948,"$132,000"
OldTown,1958,"$99,900"
OldTown,1916,"$135,000"
OldTown,1939,"$149,000"
OldTown,1900,"$114,000"
OldTown,1924,"$109,500"
OldTown,1925,"$125,000"
OldTown,1915,"$142,900"
OldTown,1910,"$156,500"
OldTown,1940,"$59,000"
OldTown,1920,"$105,000"
OldTown,1920,"$106,000"
OldTown,1890,"$78,500"
NAmes,1969,"$190,000"
NAmes,1963,"$154,000"
NAmes,1967,"$163,000"
NAmes,1969,"$200,000"
NAmes,1958,"$143,500"
NAmes,1957,"$135,000"
NAmes,1957,"$153,000"
NAmes,1960,"$157,500"
NAmes,1958,"$113,500"
NAmes,1949,"$133,000"
NAmes,1950,"$92,900"
NAmes,1950,"$128,500"
NAmes,1949,"$90,000"
NAmes,1950,"$138,000"
NAmes,1958,"$128,000"
NAmes,1958,"$139,000"
NAmes,1952,"$118,900"
NAmes,1959,"$138,000"
NAmes,1959,"$132,500"
NAmes,1949,"$133,500"
NAmes,1948,"$135,000"
NAmes,1964,"$144,750"
NAmes,1978,"$145,000"
NAmes,1963,"$127,000"
NAmes,1962,"$109,500"
OldTown,1926,"$115,000"
OldTown,1910,"$110,000"
OldTown,1935,"$128,900"
OldTown,1910,"$103,500"
OldTown,1941,"$66,500"
OldTown,1910,"$130,000"
OldTown,1910,"$129,000"
OldTown,1939,"$150,000"
OldTown,1892,"$107,500"
OldTown,1920,"$94,550"
OldTown,1952,"$124,500"
OldTown,1946,"$135,000"
OldTown,1910,"$103,000"
OldTown,1953,"$93,000"
OldTown,1950,"$129,500"
OldTown,1954,"$93,000"
OldTown,1920,"$80,000"
OldTown,1940,"$45,000"
OldTown,1910,"$37,900"
OldTown,1938,"$91,300"
OldTown,1923,"$99,500"
OldTown,1920,"$113,000"
OldTown,1910,"$87,500"
OldTown,1947,"$110,000"
OldTown,1898,"$106,000"
OldTown,1880,"$265,979"
OldTown,1900,"$160,000"
OldTown,1917,"$119,000"
OldTown,1882,"$168,000"
OldTown,1910,"$58,500"
OldTown,1920,"$143,000"
OldTown,1910,"$85,000"
OldTown,1890,"$124,900"
OldTown,1920,"$119,000"
OldTown,1910,"$146,500"
IDOTRR,1920,"$34,900"
IDOTRR,1900,"$44,000"
BrkSide,1923,"$223,500"
BrkSide,1923,"$149,000"
BrkSide,1925,"$205,000"
BrkSide,1930,"$137,000"
BrkSide,1916,"$121,000"
BrkSide,1936,"$128,000"
BrkSide,1937,"$134,900"
BrkSide,1925,"$117,000"
BrkSide,1939,"$132,500"
BrkSide,1924,"$93,000"
BrkSide,1926,"$119,000"
BrkSide,1924,"$100,000"
BrkSide,1936,"$141,500"
BrkSide,1935,"$133,000"
BrkSide,1936,"$60,000"
BrkSide,1931,"$105,000"
BrkSide,1925,"$115,000"
BrkSide,1938,"$150,000"
BrkSide,1925,"$126,500"
BrkSide,1916,"$214,500"
BrkSide,1910,"$167,500"
OldTown,1915,"$155,000"
OldTown,1915,"$155,000"
OldTown,1915,"$179,900"
OldTown,1912,"$104,000"
OldTown,1922,"$62,500"
IDOTRR,1927,"$149,000"
IDOTRR,1925,"$103,000"
OldTown,1915,"$123,000"
OldTown,1902,"$97,500"
IDOTRR,1927,"$135,000"
IDOTRR,1923,"$70,000"
IDOTRR,1915,"$116,000"
Sawyer,1946,"$88,750"
Edwards,1987,"$179,000"
Edwards,1987,"$179,000"
Edwards,1978,"$159,900"
Edwards,1922,"$61,000"
Edwards,1925,"$103,600"
Edwards,1934,"$63,000"
Sawyer,1963,"$175,000"
Sawyer,1963,"$139,000"
Sawyer,1978,"$172,500"
Sawyer,1967,"$113,500"
Sawyer,1967,"$130,000"
Sawyer,1978,"$149,900"
Sawyer,1982,"$134,900"
Sawyer,1982,"$137,000"
Sawyer,1962,"$139,000"
Sawyer,1961,"$165,000"
Sawyer,1960,"$148,000"
ClearCr,1956,"$165,000"
Sawyer,1947,"$63,900"
ClearCr,1957,"$161,500"
ClearCr,1968,"$143,000"
Edwards,1956,"$135,000"
Edwards,1940,"$82,500"
ClearCr,1955,"$190,000"
Edwards,1955,"$139,600"
Edwards,1954,"$122,000"
Edwards,1956,"$127,500"
Edwards,1956,"$121,500"
Edwards,1958,"$60,000"
Edwards,1946,"$154,400"
Edwards,1941,"$113,000"
Edwards,1954,"$125,000"
Edwards,1957,"$84,000"
Edwards,1984,"$139,500"
Edwards,1949,"$131,000"
Edwards,1939,"$105,000"
Edwards,1940,"$108,000"
SawyerW,1990,"$162,000"
SawyerW,1983,"$156,500"
SawyerW,1983,"$316,600"
SawyerW,1990,"$271,900"
SawyerW,1993,"$213,000"
SawyerW,1993,"$239,900"
SawyerW,1995,"$239,500"
SawyerW,1880,"$131,000"
SawyerW,1979,"$118,964"
SawyerW,1979,"$153,337"
SawyerW,1979,"$147,983"
SawyerW,1979,"$118,858"
SawyerW,1979,"$118,858"
SawyerW,1979,"$142,953"
SawyerW,1979,"$148,325"
SawyerW,1979,"$113,722"
SawyerW,2000,"$269,500"
SawyerW,2000,"$269,500"
SawyerW,2000,"$269,500"
CollgCr,2009,"$323,262"
CollgCr,2007,"$297,000"
CollgCr,2008,"$295,493"
CollgCr,2008,"$332,000"
CollgCr,2008,"$239,900"
CollgCr,2007,"$212,000"
CollgCr,2007,"$272,500"
CollgCr,2007,"$239,000"
CollgCr,2006,"$220,000"
CollgCr,2007,"$200,000"
CollgCr,2008,"$221,800"
CollgCr,2007,"$194,500"
CollgCr,2005,"$237,000"
CollgCr,2005,"$173,000"
SawyerW,1989,"$275,000"
ClearCr,1992,"$233,500"
ClearCr,1967,"$185,000"
CollgCr,1996,"$152,000"
CollgCr,1994,"$143,000"
CollgCr,1997,"$231,500"
CollgCr,1996,"$212,000"
CollgCr,1998,"$207,000"
CollgCr,1994,"$145,000"
CollgCr,1994,"$138,000"
CollgCr,1998,"$197,900"
CollgCr,1999,"$204,000"
CollgCr,1999,"$192,000"
CollgCr,1998,"$200,000"
CollgCr,2002,"$195,000"
CollgCr,2002,"$227,000"
CollgCr,2001,"$230,000"
CollgCr,2001,"$187,100"
CollgCr,2002,"$203,000"
CollgCr,2001,"$201,000"
CollgCr,1978,"$124,000"
CollgCr,1978,"$140,000"
CollgCr,1979,"$134,900"
CollgCr,1977,"$150,500"
CollgCr,1978,"$136,500"
CollgCr,1977,"$143,500"
CollgCr,1972,"$133,500"
CollgCr,1972,"$123,000"
CollgCr,1972,"$133,900"
CollgCr,1972,"$133,000"
CollgCr,2002,"$250,000"
CollgCr,2003,"$254,750"
CollgCr,2001,"$236,500"
CollgCr,2001,"$261,500"
CollgCr,2000,"$313,000"
CollgCr,2002,"$198,500"
CollgCr,2001,"$211,000"
CollgCr,1999,"$220,000"
CollgCr,1996,"$203,000"
CollgCr,2002,"$279,500"
CollgCr,1997,"$210,000"
CollgCr,1997,"$219,500"
CollgCr,1996,"$191,000"
CollgCr,2001,"$178,000"
CollgCr,2000,"$213,000"
CollgCr,2003,"$144,000"
CollgCr,2003,"$140,000"
CollgCr,2007,"$293,200"
CollgCr,2004,"$190,000"
CollgCr,2004,"$190,000"
CollgCr,2005,"$173,500"
CollgCr,2007,"$170,000"
Edwards,1949,"$108,000"
Edwards,1964,"$167,000"
Edwards,1938,"$100,000"
Edwards,2003,"$198,500"
Edwards,1977,"$159,500"
Edwards,1960,"$127,000"
Edwards,1976,"$125,000"
Edwards,2007,"$320,000"
Edwards,2005,"$145,500"
Edwards,1947,"$118,000"
Edwards,1959,"$85,000"
